Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Troy Brown Jr.,SF,22,CHI,18,1,12.8,1.7,4.1,.411,0.4,1.7,.267,1.2,2.4,.512,.466,0.6,0.8,.714,0.4,2.1,2.5,0.8,0.3,0.1,0.4,0.8,4.3
Jalen Brunson,PG,25,DAL,28,10,29.8,5.9,11.8,.495,1.0,3.0,.329,4.9,8.8,.553,.538,2.2,2.8,.782,0.6,3.3,3.9,5.2,0.8,0.0,1.6,2.0,14.9
Reggie Bullock,SF,30,DAL,27,11,23.9,2.1,5.9,.354,1.2,4.3,.274,0.9,1.5,.585,.456,0.3,0.4,.727,0.2,2.5,2.7,0.9,0.3,0.1,0.6,1.4,5.6
Trey Burke,PG,29,DAL,17,0,12.9,2.9,6.5,.445,0.9,2.5,.349,2.0,3.9,.507,.514,0.8,0.9,.933,0.1,1.1,1.2,1.9,0.4,0.0,0.8,0.9,7.5
Alec Burks,SG,30,NYK,29,10,26.7,3.5,8.9,.394,2.0,4.9,.404,1.6,4.1,.381,.504,2.6,3.1,.835,0.4,3.6,4.0,2.2,1.1,0.3,0.9,2.2,11.6
Jared Butler,SG,21,UTA,17,0,4.3,0.6,1.9,.344,0.4,1.1,.316,0.3,0.8,.385,.438,0.2,0.4,.571,0.0,0.7,0.7,0.6,0.1,0.4,0.5,0.9,1.9
Jimmy Butler,SF,32,MIA,18,18,33.7,7.7,15.2,.509,0.3,1.7,.194,7.4,13.4,.550,.520,7.1,8.3,.852,1.6,4.2,5.8,5.2,2.2,0.3,1.9,1.6,22.8
Devontae Cacok,PF,25,SAS,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
Kentavious Caldwell-Pope,SG,28,WAS,31,31,29.2,3.9,9.5,.412,2.0,5.3,.378,1.9,4.3,.455,.517,1.2,1.3,.878,0.5,3.0,3.5,1.6,1.3,0.4,1.2,1.9,11.0
Facundo Campazzo,PG,30,DEN,28,0,20.3,2.1,5.1,.403,1.2,3.3,.359,0.9,1.9,.481,.517,0.9,1.0,.857,0.4,1.5,1.9,3.3,1.0,0.3,1.0,1.9,6.2
Vlatko Čančar,PF,24,DEN,9,0,8.3,1.0,2.1,.474,0.4,0.6,.800,0.6,1.6,.357,.579,0.6,0.7,.833,0.1,0.9,1.0,0.9,0.2,0.1,0.4,0.9,3.0
Clint Capela,C,27,ATL,29,29,29.8,5.1,8.9,.575,0.0,0.0,.000,5.1,8.9,.578,.575,1.2,2.4,.493,4.0,8.8,12.8,1.4,0.9,1.6,0.6,2.3,11.5
Vernon Carey Jr.,C,20,CHO,2,1,6.0,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.5,0.5,1.000,1.0,0.5,1.5,0.0,0.5,0.0,0.5,0.5,3.5
Jevon Carter,PG,26,BRK,27,1,11.7,0.8,2.8,.276,0.7,2.2,.305,0.1,0.6,.176,.395,0.1,0.1,.750,0.1,1.3,1.5,1.1,0.3,0.3,0.4,1.1,2.3
Wendell Carter Jr.,C,22,ORL,30,30,28.8,4.9,9.8,.502,1.3,3.8,.345,3.6,6.1,.599,.568,1.5,2.1,.710,2.1,7.8,9.9,2.5,0.6,0.6,1.4,2.5,12.6
Alex Caruso,SG,27,CHI,25,8,28.9,2.9,6.5,.448,1.1,3.1,.364,1.8,3.4,.523,.534,1.8,2.1,.830,1.0,2.9,3.8,4.0,2.1,0.4,1.6,2.6,8.7
Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,.457,0.1,0.1,.500,0.8,1.8,.455,.471,0.1,0.1,.500,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
Justin Champagnie,SF,20,TOR,15,0,7.3,0.8,2.0,.400,0.0,0.5,.000,0.8,1.5,.522,.400,0.6,0.6,1.000,0.9,0.5,1.4,0.1,0.1,0.1,0.1,0.9,2.2
Chris Chiozza,PG,26,GSW,13,1,12.5,0.9,2.9,.316,0.8,2.2,.357,0.2,0.8,.200,.447,0.1,0.1,1.000,0.5,1.2,1.7,2.1,0.5,0.0,1.0,1.4,2.7
Josh Christopher,SG,20,HOU,22,1,12.8,2.2,4.4,.495,0.7,1.6,.457,1.5,2.8,.516,.577,0.7,1.0,.714,0.5,1.0,1.4,1.5,0.7,0.0,1.2,1.0,5.8
Gary Clark,F,27,NOP,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Clarke,PF,25,MEM,19,0,16.0,3.4,5.5,.610,0.1,0.6,.091,3.3,4.9,.670,.614,0.9,1.4,.667,1.7,2.6,4.4,1.4,0.4,0.9,0.4,1.7,7.7
Jordan Clarkson,SG,29,UTA,29,0,25.2,5.4,14.0,.383,2.6,8.7,.300,2.8,5.3,.519,.477,1.6,2.0,.807,0.8,2.4,3.2,2.1,0.7,0.2,1.3,1.7,15.0
Nicolas Claxton,C,22,BRK,11,6,18.5,3.2,4.8,.660,0.0,0.0,,3.2,4.8,.660,.660,0.8,1.5,.529,1.3,3.3,4.5,0.5,0.4,0.9,0.7,2.2,7.2
Amir Coffey,SG,24,LAC,18,3,12.1,0.8,2.3,.333,0.6,1.7,.323,0.2,0.6,.364,.452,1.0,1.2,.857,0.2,1.4,1.6,0.6,0.1,0.1,0.3,0.7,3.1
John Collins,PF,24,ATL,29,29,32.4,6.5,11.7,.556,1.2,3.1,.396,5.3,8.6,.614,.609,2.9,3.7,.794,1.8,6.1,7.9,2.1,0.8,1.2,1.1,3.0,17.2
Mike Conley,PG,34,UTA,26,26,28.0,5.0,10.3,.485,2.6,5.7,.453,2.4,4.6,.525,.610,1.2,1.4,.833,0.4,1.8,2.2,5.5,1.1,0.3,1.7,1.9,13.7
